Year,Round,Circuit,Driver,Team,SubSession,LapTime_s,GridPosition,Sector1_s,Sector2_s,Sector3_s,TyreLife,Compound,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,FP1_s,FP2_s,FP3_s,IsSprintWeekend,SubSession_ord,Wet
2022,1,BAHRAIN GRAND PRIX,LEC,Ferrari,Q3,90.558,1.0,29.115,38.702,22.741,2.0,SOFT,True,241.0,270.0,288.0,316.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.557,92.023,92.64,0,3,0
2022,1,BAHRAIN GRAND PRIX,VER,Red Bull Racing,Q3,90.681,2.0,28.97,38.832,22.879,2.0,SOFT,True,239.0,271.0,289.0,322.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.742,91.936,92.544,0,3,0
2022,1,BAHRAIN GRAND PRIX,SAI,Ferrari,Q3,90.687,3.0,29.036,38.842,22.809,2.0,SOFT,True,240.0,270.0,284.0,315.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.611,92.52,93.053,0,3,0
2022,1,BAHRAIN GRAND PRIX,PER,Red Bull Racing,Q3,90.921,4.0,29.18,38.894,22.847,2.0,SOFT,True,239.0,269.0,288.0,322.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.05,92.958,92.791,0,3,0
2022,1,BAHRAIN GRAND PRIX,HAM,Mercedes,Q3,91.238,5.0,29.384,38.965,22.889,2.0,SOFT,True,239.0,268.0,285.0,312.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.943,93.144,93.121,0,3,0
2022,1,BAHRAIN GRAND PRIX,BOT,Kick Sauber,Q3,91.56,6.0,29.203,39.296,23.061,2.0,SOFT,True,239.0,269.0,286.0,314.0,19.4,25.4,56.0,1013.7,0.5,0.0,,92.951,93.733,0,3,0
2022,1,BAHRAIN GRAND PRIX,MAG,Haas F1 Team,Q3,91.808,7.0,29.31,39.456,23.042,2.0,SOFT,True,241.0,270.0,278.0,318.0,19.4,25.4,56.0,1013.7,0.5,0.0,96.804,93.183,93.437,0,3,0
2022,1,BAHRAIN GRAND PRIX,ALO,Alpine,Q3,92.195,8.0,29.47,39.551,23.174,2.0,SOFT,True,239.0,268.0,287.0,320.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.0,92.877,94.628,0,3,0
2022,1,BAHRAIN GRAND PRIX,RUS,Mercedes,Q3,92.216,9.0,30.002,39.362,22.852,2.0,SOFT,True,238.0,267.0,284.0,309.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.629,92.529,92.935,0,3,0
2022,1,BAHRAIN GRAND PRIX,GAS,Racing Bulls,Q3,92.338,10.0,29.392,39.815,23.131,2.0,SOFT,True,239.0,269.0,276.0,315.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.193,93.621,94.176,0,3,0
