Year,Round,Circuit,Driver,Team,SubSession,LapTime_s,GridPosition,Sector1_s,Sector2_s,Sector3_s,TyreLife,Compound,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,FP1_s,FP2_s,FP3_s,IsSprintWeekend,SubSession_ord,Wet
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,TSU,AlphaTauri,Q2,92.51,14.0,29.54,39.859,23.111,5.0,SOFT,False,238.0,268.0,287.0,320.0,24.0,28.2,17.0,1017.7,0.6,0.0,95.015,92.525,93.475,0,2,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,ALB,Williams,Q2,125.534,15.0,30.014,59.6,35.92,2.0,SOFT,True,227.0,159.0,,322.0,24.0,28.2,17.0,1017.7,0.6,0.0,96.018,92.44,93.882,0,2,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,VER,Red Bull Racing,Q3,89.708,1.0,28.736,38.514,22.458,2.0,SOFT,False,241.0,271.0,288.0,321.0,24.0,28.2,17.0,1017.7,0.6,0.0,93.375,91.076,92.345,0,3,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,PER,Red Bull Racing,Q3,89.846,2.0,28.723,38.537,22.586,2.0,SOFT,False,241.0,271.0,288.0,324.0,24.0,28.2,17.0,1017.7,0.6,0.0,92.758,91.078,92.446,0,3,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,LEC,Ferrari,Q3,90.0,3.0,28.825,38.614,22.561,2.0,SOFT,True,243.0,273.0,289.0,322.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.257,91.367,92.624,0,3,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,SAI,Ferrari,Q3,90.154,4.0,28.739,38.7,22.715,2.0,SOFT,False,243.0,270.0,288.0,323.0,24.0,28.2,17.0,1017.7,0.6,0.0,96.072,91.956,92.945,0,3,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,ALO,Aston Martin,Q3,90.336,5.0,28.852,38.774,22.71,2.0,SOFT,True,242.0,267.0,284.0,317.0,24.0,28.2,17.0,1017.7,0.6,0.0,93.196,90.907,92.34,0,3,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,RUS,Mercedes,Q3,90.34,6.0,28.911,38.87,22.559,2.0,SOFT,True,244.0,270.0,288.0,317.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.966,91.882,92.731,0,3,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,HAM,Mercedes,Q3,90.384,7.0,28.939,38.829,22.616,2.0,SOFT,True,242.0,271.0,288.0,319.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.917,91.543,92.555,0,3,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,STR,Aston Martin,Q3,90.836,8.0,29.033,39.07,22.733,2.0,SOFT,True,243.0,266.0,285.0,317.0,24.0,28.2,17.0,1017.7,0.6,0.0,94.298,91.45,92.919,0,3,0
2023,1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,OCO,Alpine,Q3,90.984,9.0,29.026,39.104,22.854,2.0,SOFT,False,242.0,270.0,286.0,320.0,24.0,28.2,17.0,1017.7,0.6,0.0,95.105,91.608,93.116,0,3,0
